Číslo závady,EC_SVE,EČ objektu,Katastr,Ulice,Sektor závady,Rok závady,Datum nahlášení závady,Typ závady,Plánovaný termín opravy,Stav opravy,Způsob opravy,Datum opravy
1 231,S-0902-072,Z-409,Staré Brno,POŘÍČÍ,Brno - východ,2 016,1.7.2016,"Z vypnuta regulace, viz.poznámka",8.7.2016,Definitivní,Z regulace zapnuta,5.7.2016
1 232,S-0811-042,R-0811-004,Dolní Heršpice,OŘECHOVSKÁ,Brno - západ,2 016,1.7.2016,Z vypadený jistící prvek,8.7.2016,Definitivní,S výměna svorkovnice,4.7.2016
1 233,S-0803-019,,Horní Heršpice,OSAMĚLÁ,Brno - západ,2 016,1.7.2016,S svítidlo-nesvítí,8.7.2016,Definitivní,S výměna světelného zdroje,4.7.2016
1 234,S-0584-173,Z-267,Kohoutovice,LIBUŠINA TŘÍDA,Brno - západ,2 016,2.7.2016,"Z vypnuta regulace, viz.poznámka",9.7.2016,Definitivní,Z regulace zapnuta,5.7.2016
1 235,S-1865-001,Z-630,Slatina,ŠVÉDSKÉ VALY,Brno - východ,2 016,2.7.2016,Z porucha regulace,9.7.2016,Definitivní,Teplotní vlivy,9.7.2016
1 236,S-1309-070,,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,2.7.2016,"dvířka-poškozena, chybí",9.7.2016,Definitivní,S montáž dvířek,2.7.2016
1 237,S-0287-104,Z-206,Horní Heršpice,HNĚVKOVSKÉHO,Brno - východ,2 016,2.7.2016,Z vybitá záložní baterie,9.7.2016,Definitivní,Z výměna baterie,4.7.2016
1 238,S-0066-032,Z-034,Řečkovice,BOSKOVICKÁ,Brno - západ,2 016,2.7.2016,Z vypadený jistící prvek,9.7.2016,Definitivní,vypadený jistící prvek,4.7.2016
1 239,S-0308-118,Z-147,Královo Pole,HRADECKÁ,Brno - západ,2 016,2.7.2016,Z vypadený jistící prvek,9.7.2016,Definitivní,vypadený jistící prvek,2.7.2016
1 240,S-0465-014,Z-225,Město Brno,KOMENSKÉHO NÁMĚSTÍ,Brno - východ,2 016,3.7.2016,Z nelze odečíst elektroměr,10.7.2016,Definitivní,Z nastavení elektroměru,15.7.2016
1 241,S-1136-041,Z-475,Nový Lískovec,SVÁŽNÁ,Brno - západ,2 016,3.7.2016,Z vybitá PLC baterie,10.7.2016,Definitivní,Z výměna baterie,4.7.2016
1 242,S-0637-005,R-0637-003,Město Brno,MASARYKOVA,Brno - východ,2 016,3.7.2016,S svítidlo-nesvítí,10.7.2016,Definitivní,S výměna světelného zdroje,4.7.2016
1 243,S-0835-001,,Město Brno,PETROV,Brno - východ,2 016,3.7.2016,S svítidlo-nesvítí,10.7.2016,Definitivní,S výměna světelného zdroje,4.7.2016
1 244,S-0960-002,R-0960-006,Město Brno,RAŠÍNOVA,Brno - východ,2 016,3.7.2016,S svítidlo-nesvítí,10.7.2016,Definitivní,vypadený jistící prvek,29.7.2016
1 245,S-1352-020,R-1558-002,Město Brno,ZELNÝ TRH,Brno - východ,2 016,3.7.2016,S svítidlo-nesvítí,10.7.2016,Definitivní,S výměna světelného zdroje,4.7.2016
1 246,S-0667-010,Z-292,Slatina,MIKULČICKÁ,Brno - východ,2 016,4.7.2016,Z vypadený jistící prvek,11.7.2016,Definitivní,vypadený jistící prvek,4.7.2016
1 247,S-0667-012,Z-292,Slatina,MIKULČICKÁ,Brno - východ,2 016,4.7.2016,Z porucha proudového snímače,11.7.2016,Definitivní,Z výměna proudového snímače,7.7.2016
1 248,S-0841-008,Z-646,Pisárky,PISÁRECKÁ,Brno - západ,2 016,4.7.2016,"Z vypnuta regulace, viz.poznámka",11.7.2016,Definitivní,Z regulace vyměněna,6.7.2016
1 249,S-0461-014,,Město Brno,KOLIŠTĚ,Brno - východ,2 016,5.7.2016,S svítidlo-nesvítí,12.7.2016,Provizorní,neopraveno,7.7.2016
1 250,S-1522-023,,Město Brno,HLÍDKA,Brno - východ,2 016,5.7.2016,S svítidlo-nesvítí,12.7.2016,Definitivní,S výměna světelného zdroje,7.7.2016
1 251,S-1309-228,Z-550,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,5.7.2016,Z porucha regulace,12.7.2016,Definitivní,Teplotní vlivy,6.7.2016
1 252,S-0562-007,Z-248,Bosonohy,KŘIVÁNKY,Brno - západ,2 016,5.7.2016,Z vybitá záložní baterie,12.7.2016,Definitivní,Z výměna baterie,6.7.2016
1 253,S-0308-118,Z-147,Královo Pole,HRADECKÁ,Brno - západ,2 016,5.7.2016,"Z vypnuta regulace, porucha síťě",12.7.2016,Definitivní,Z regulace zapnuta,7.7.2016
1 254,S-0618-008,Z-278,Město Brno,MALINOVSKÉHO NÁMĚSTÍ,Brno - východ,2 016,5.7.2016,Z porucha proudového snímače,12.7.2016,Definitivní,Z výměna proudového snímače,6.7.2016
1 255,S-0584-172,Z-267,Kohoutovice,LIBUŠINA TŘÍDA,Brno - západ,2 016,5.7.2016,"Z vypnuta regulace, viz.poznámka",12.7.2016,Definitivní,Z regulace vyměněna,6.7.2016
1 256,S-0453-005,,Město Brno,KOBLIŽNÁ,Brno - východ,2 016,5.7.2016,S svítidlo-nesvítí,12.7.2016,Definitivní,S výměna světelného zdroje,7.7.2016
1 257,S-0835-001,,Město Brno,PETROV,Brno - východ,2 016,5.7.2016,S svítidlo-nesvítí,12.7.2016,Definitivní,S výměna světelného zdroje,7.7.2016
1 258,S-0637-016,,Město Brno,MASARYKOVA,Brno - východ,2 016,5.7.2016,S svítidlo-nesvítí,12.7.2016,Definitivní,S výměna světelného zdroje,28.7.2016
1 259,S-0584-249,Z-265,Kohoutovice,LIBUŠINA TŘÍDA,Brno - západ,2 016,6.7.2016,Z porucha regulace,13.7.2016,Definitivní,Z regulace seřízena,29.9.2016
1 260,S-1190-023,R-1411-001,Židenice,TÁBORSKÁ,Brno - východ,2 016,6.7.2016,"dvířka-poškozena, chybí",13.7.2016,Definitivní,S montáž dvířek,7.7.2016
1 261,S-0682-003,Z-300,Bohunice,MOLDAVSKÁ,Brno - západ,2 016,6.7.2016,Z vypadený jistící prvek,13.7.2016,Definitivní,jiná závada,7.7.2016
1 262,S-0618-008,Z-278,Město Brno,MALINOVSKÉHO NÁMĚSTÍ,Brno - východ,2 016,6.7.2016,Z vypadený jistící prvek,13.7.2016,Definitivní,oprava kabelu,5.8.2016
1 263,S-0618-008,Z-278,Město Brno,MALINOVSKÉHO NÁMĚSTÍ,Brno - východ,2 016,7.7.2016,Z porucha proudového snímače,14.7.2016,Definitivní,Z výměna proudového snímače,13.7.2016
1 264,S-1464-032,Z-487,Bystrc,ŠTOURAČOVA,Brno - západ,2 016,7.7.2016,Z vypadený jistící prvek,14.7.2016,Definitivní,vypadený jistící prvek,7.7.2016
1 265,S-1493-039,Z-444,Slatina,ŘÍPSKÁ,Brno - východ,2 016,7.7.2016,Z nekomunikuje,14.7.2016,Definitivní,jiná závada,7.7.2016
1 266,S-1309-228,Z-550,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,7.7.2016,Z porucha regulace,14.7.2016,Definitivní,jiná závada,28.9.2016
1 267,S-0073-030,R-0073-002,Královo Pole,BOŽETĚCHOVA,Brno - západ,2 016,7.7.2016,"dvířka-poškozena, chybí",14.7.2016,Definitivní,S montáž dvířek,8.7.2016
1 268,S-0982-017,,Stránice,ROUBALOVA,Brno - západ,2 016,7.7.2016,S svítidlo-nesvítí,14.7.2016,Definitivní,S výměna světelného zdroje,8.7.2016
1 269,S-0756-005,,Husovice,NOVÁČKOVA,Brno - východ,2 016,7.7.2016,viz. poznámka,14.7.2016,Definitivní,S oprava svítidla,7.7.2016
1 270,S-0565-001,Z-243,Staré Brno,KŘÍDLOVICKÁ,Brno - východ,2 016,7.7.2016,Z vypadený jistící prvek,14.7.2016,Definitivní,vypadený jistící prvek,8.7.2016
1 271,S-1130-025,Z-474,Židenice,SVATOPLUKOVA,Brno - východ,2 016,7.7.2016,Z vypadený jistící prvek,14.7.2016,Definitivní,vypadený jistící prvek,8.7.2016
1 272,S-0285-003,Z-128,Štýřice,HLUBOKÁ,Brno - západ,2 016,7.7.2016,"Z vypnuta regulace, viz.poznámka",14.7.2016,Definitivní,Z regulace vyměněna,8.7.2016
1 273,S-0453-011,,Město Brno,KOBLIŽNÁ,Brno - východ,2 016,7.7.2016,S svítidlo-nesvítí,14.7.2016,Definitivní,S výměna světelného zdroje,8.7.2016
1 274,S-0388-056,,Město Brno,JOŠTOVA,Brno - východ,2 016,8.7.2016,S svítidlo-nesvítí,15.7.2016,Definitivní,S výměna světelného zdroje,26.8.2016
1 275,S-0638-019,Z-281,Trnitá,MASNÁ,Brno - východ,2 016,8.7.2016,Z vypadený jistící prvek,15.7.2016,Definitivní,vypadený jistící prvek,8.7.2016
1 276,S-0825-004,Z-364,Komín,PASTVINY,Brno - západ,2 016,8.7.2016,Z vybitá záložní baterie,15.7.2016,Definitivní,Z výměna zdroje,11.7.2016
1 277,S-1260-034,,Pisárky,VINAŘSKÁ,Brno - západ,2 016,8.7.2016,S stožár-poškozen,15.7.2016,Definitivní,S výměna stožáru,10.8.2016
1 278,S-0638-018,Z-281,Trnitá,MASNÁ,Brno - východ,2 016,8.7.2016,Z vypadený jistící prvek,15.7.2016,Definitivní,vyráží jistící prvek,8.7.2016
1 279,S-1493-039,Z-444,Slatina,ŘÍPSKÁ,Brno - východ,2 016,8.7.2016,Z nekomunikuje,15.7.2016,Definitivní,Z obnovena komunikace RACOM,11.7.2016
1 280,S-0285-003,Z-128,Štýřice,HLUBOKÁ,Brno - západ,2 016,9.7.2016,"Z vypnuta regulace, viz.poznámka",16.7.2016,Definitivní,Z regulace vyměněna,11.7.2016
1 281,S-0789-180,Z-340,Černovice,OLOMOUCKÁ,Brno - východ,2 016,9.7.2016,Z porucha regulace,16.7.2016,Definitivní,Teplotní vlivy,16.7.2016
1 282,S-0275-094,Z-122,Štýřice,HERŠPICKÁ,Brno - západ,2 016,9.7.2016,Z porucha regulace,16.7.2016,Definitivní,Teplotní vlivy,16.7.2016
1 283,S-0939-002,Z-424,Slatina,PŘEMYSLOVO NÁMĚSTÍ,Brno - východ,2 016,9.7.2016,Z vybitá záložní baterie,16.7.2016,Definitivní,Z výměna zdroje,11.7.2016
1 284,S-0638-018,Z-281,Trnitá,MASNÁ,Brno - východ,2 016,9.7.2016,Z vypadený jistící prvek,16.7.2016,Definitivní,oprava kabelu,30.12.2016
1 285,S-0011-007,Z-006,Veveří,ANTONÍNSKÁ,Brno - východ,2 016,9.7.2016,SO nekomunikuje čip,16.7.2016,Definitivní,při kontrole vše v pořádku,14.7.2016
1 286,S-0902-094,,Staré Brno,POŘÍČÍ,Brno - východ,2 016,10.7.2016,viz. poznámka,17.7.2016,Definitivní,jiná závada,10.7.2016
1 287,S-0388-049,,Město Brno,JOŠTOVA,Brno - východ,2 016,11.7.2016,S svítidlo-nesvítí,18.7.2016,Definitivní,S výměna světelného zdroje,26.8.2016
1 288,S-0125-015,,Černovice,CHARBULOVA,Brno - východ,2 016,11.7.2016,S svítidlo-nesvítí,18.7.2016,Definitivní,S výměna světelného zdroje,12.7.2016
1 289,S-1491-021,Z-443,Komín,ŘEZÁČOVA,Brno - západ,2 016,12.7.2016,Z vypadený jistící prvek,19.7.2016,Definitivní,vypadený jistící prvek,12.7.2016
1 290,S-0584-172,Z-267,Kohoutovice,LIBUŠINA TŘÍDA,Brno - západ,2 016,12.7.2016,"Z vypnuta regulace, viz.poznámka",19.7.2016,Definitivní,jiná závada,12.7.2016
1 291,S-1503-113,Z-606,Pisárky,BAUEROVA,Brno - západ,2 016,12.7.2016,Z porucha regulace,19.7.2016,Definitivní,při kontrole vše v pořádku,5.10.2016
1 292,S-0805-039,Z-350,Starý Lískovec,OSOVÁ,Brno - západ,2 016,12.7.2016,"Z vypnuta regulace, porucha síťě",19.7.2016,Definitivní,jiná závada,13.7.2016
1 293,S-0375-027,,Štýřice,JIHLAVSKÁ,Brno - západ,2 016,12.7.2016,S stožár-poškozen,19.7.2016,Definitivní,jiná závada,26.8.2016
1 294,S-0016-003,R-0016-002,Zábrdovice,AUERSWALDOVA,Brno - východ,2 016,12.7.2016,R poškozen,19.7.2016,Definitivní,R výměna RS,1.9.2016
1 295,S-0841-002,Z-646,Pisárky,PISÁRECKÁ,Brno - západ,2 016,12.7.2016,"Z vypnuta regulace, viz.poznámka",19.7.2016,Definitivní,jiná závada,12.7.2016
1 296,S-1322-007,,Staré Brno,VÝSTAVNÍ,Brno - západ,2 016,12.7.2016,S svítidlo-nesvítí,19.7.2016,Definitivní,S výměna světelného zdroje,13.7.2016
1 297,S-0066-001,Z-034,Řečkovice,BOSKOVICKÁ,Brno - západ,2 016,13.7.2016,Z vypadený jistící prvek,20.7.2016,Definitivní,vypadený jistící prvek,13.7.2016
1 298,S-0963-104,,Štýřice,RENNESKÁ TŘÍDA,Brno - západ,2 016,13.7.2016,S svítidlo-rozbité,20.7.2016,Definitivní,S výměna svítidla,13.7.2016
1 299,S-0519-010,,Černá Pole,KRKOŠKOVA,Brno - východ,2 016,13.7.2016,S stožár-poškozen,20.7.2016,Definitivní,při kontrole vše v pořádku,14.7.2016
1 300,S-1789-001,Z-364,Komín,ŠARACOVA,Brno - západ,2 016,13.7.2016,Z vybitá záložní baterie,20.7.2016,Definitivní,Z výměna baterie,18.7.2016
1 301,S-1309-112,Z-128,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,13.7.2016,Z nekomunikuje,20.7.2016,Definitivní,Z obnovena komunikace RACOM,14.7.2016
1 302,S-1499-012,Z-002,Útěchov u Brna,ADAMOVSKÁ,Brno - východ,2 016,14.7.2016,Z vybitá PLC baterie,21.7.2016,Definitivní,Z výměna baterie,14.7.2016
1 303,S-0841-010,R-1503-012,Pisárky,PISÁRECKÁ,Brno - západ,2 016,14.7.2016,Z porucha regulace,21.7.2016,Definitivní,Z regulace seřízena,19.8.2016
1 304,S-0461-054,Z-278,Město Brno,KOLIŠTĚ,Brno - východ,2 016,14.7.2016,Z vypadený jistící prvek,21.7.2016,Definitivní,Z výměna proudového snímače,16.7.2016
1 305,S-1286-002,Z-576,Zábrdovice,VRANOVSKÁ,Brno - východ,2 016,14.7.2016,Z vybitá PLC baterie,21.7.2016,Definitivní,Z výměna baterie,15.7.2016
1 306,S-0637-009,Z-280,Město Brno,MASARYKOVA,Brno - východ,2 016,14.7.2016,viz. poznámka,21.7.2016,Definitivní,Z nastavení elektroměru,15.7.2016
1 307,S-1404-003,,Veveří,ŽIŽKOVA,Brno - východ,2 016,14.7.2016,S svítidlo-bliká,21.7.2016,Definitivní,S výměna světelného zdroje,15.7.2016
1 308,S-0059-037,Z-031,Horní Heršpice,BOHUNICKÁ,Brno - západ,2 016,14.7.2016,"Z vypnuta regulace, viz.poznámka",21.7.2016,Definitivní,Z regulace vyměněna,15.7.2016
1 309,S-0388-050,,Město Brno,JOŠTOVA,Brno - východ,2 016,15.7.2016,S svítidlo-nesvítí,22.7.2016,Definitivní,S výměna světelného zdroje,26.8.2016
1 310,S-0586-046,Z-269,Kohoutovice,LIBUŠINO ÚDOLÍ,Brno - západ,2 016,15.7.2016,Z vybitá PLC baterie,22.7.2016,Definitivní,Z výměna baterie,15.7.2016
1 311,S-1512-065,,Město Brno,DENISOVY SADY,Brno - východ,2 016,15.7.2016,S svítidlo-bliká,22.7.2016,Definitivní,S výměna světelného zdroje,15.7.2016
1 312,S-0615-017,R-0479-009,Žabovřesky,MAKOVSKÉHO NÁMĚSTÍ,Brno - západ,2 016,15.7.2016,"dvířka-poškozena, chybí",22.7.2016,Definitivní,S montáž dvířek,15.7.2016
1 313,S-0945-011,Z-426,Bosonohy,PŘÍMÁ,Brno - západ,2 016,15.7.2016,Z vypadený jistící prvek,22.7.2016,Definitivní,vypadený jistící prvek,15.7.2016
1 314,S-0666-008,,Židenice,MIKULOVSKÁ,Brno - východ,2 016,15.7.2016,S svítidlo-nesvítí,22.7.2016,Definitivní,jiná závada,15.7.2016
1 315,S-0666-005,,Židenice,MIKULOVSKÁ,Brno - východ,2 016,15.7.2016,S svítidlo-nesvítí,22.7.2016,Definitivní,jiná závada,15.7.2016
1 316,S-1919-006,,Veveří,BJÖRNSONŮV SAD,Brno - západ,2 016,15.7.2016,"S patice-poškozena, chybí",22.7.2016,Definitivní,S montáž patice,18.7.2016
1 317,S-1076-012,,Jundrov,SOSNOVÁ,Brno - západ,2 016,15.7.2016,S svítidlo-bliká,22.7.2016,Definitivní,S výměna světelného zdroje,18.7.2016
1 318,S-1130-024,Z-474,Židenice,SVATOPLUKOVA,Brno - východ,2 016,15.7.2016,Z vybitá PLC baterie,22.7.2016,Definitivní,Z výměna baterie,19.7.2016
1 319,S-0461-090,Z-278,Město Brno,KOLIŠTĚ,Brno - východ,2 016,16.7.2016,Z porucha proudového snímače,23.7.2016,Definitivní,Z výměna proudového snímače,19.8.2016
1 320,S-1522-038,R-1586-007,Město Brno,HLÍDKA,Brno - východ,2 016,16.7.2016,"nesvítí celá ulice, oblast",23.7.2016,Definitivní,S výměna světelného zdroje,18.7.2016
1 321,S-0308-119,Z-147,Královo Pole,HRADECKÁ,Brno - západ,2 016,16.7.2016,Z vypadený jistící prvek,23.7.2016,Definitivní,vypadený jistící prvek,18.7.2016
1 322,S-1714-107,R-1714-015,Slatina,OSTRAVSKÁ,Brno - východ,2 016,17.7.2016,Z výpadek přívodního napájení,24.7.2016,Definitivní,Z obnovení dodávky el. energie,17.7.2016
1 323,S-0808-035,Z-357,Židenice,OTAKARA ŠEVČÍKA,Brno - východ,2 016,17.7.2016,Z výpadek přívodního napájení,24.7.2016,Definitivní,Z obnovení dodávky el. energie,17.7.2016
1 324,S-1714-161,Z-355,Slatina,OSTRAVSKÁ,Brno - východ,2 016,17.7.2016,Z výpadek přívodního napájení,24.7.2016,Definitivní,Z obnovení dodávky el. energie,17.7.2016
1 325,S-0571-044,Z-258,Slatina,LANGROVA,Brno - východ,2 016,17.7.2016,Z výpadek přívodního napájení,24.7.2016,Definitivní,Z obnovení dodávky el. energie,17.7.2016
1 326,S-1714-183,Z-356,Slatina,OSTRAVSKÁ,Brno - východ,2 016,17.7.2016,Z výpadek přívodního napájení,24.7.2016,Definitivní,Z obnovení dodávky el. energie,17.7.2016
1 327,S-1179-014,Z-514,Slatina,TUŘANKA,Brno - východ,2 016,17.7.2016,Z výpadek přívodního napájení,24.7.2016,Definitivní,Z obnovení dodávky el. energie,17.7.2016
1 328,S-0037-017,Z-022,Kohoutovice,BELLOVA,Brno - západ,2 016,17.7.2016,Z zapnout BP - porucha stabilizace,17.7.2016,Definitivní,S výměna svorkovnice,18.7.2016
1 329,S-0465-020,,Město Brno,KOMENSKÉHO NÁMĚSTÍ,Brno - východ,2 016,17.7.2016,S svítidlo-nesvítí,24.7.2016,Definitivní,S výměna světelného zdroje,18.7.2016
1 330,S-1082-001,,Jehnice,SOUSEDNÍ,Brno - západ,2 016,18.7.2016,"nesvítí celá ulice, oblast",25.7.2016,Definitivní,vypadený jistící prvek,18.7.2016
1 331,S-0394-037,Z-195,Lesná,JURKOVIČOVA,Brno - východ,2 016,18.7.2016,Z vypadený jistící prvek,25.7.2016,Definitivní,S výměna svorkovnice,19.7.2016
1 332,S-0811-020,R-0811-001,Horní Heršpice,OŘECHOVSKÁ,Brno - západ,2 016,18.7.2016,S stožár-poškozen,25.7.2016,Definitivní,není v majetku TsB,18.7.2016
1 333,S-0594-043,,Lesná,LOOSOVA,Brno - východ,2 016,19.7.2016,S svítidlo-nesvítí,26.7.2016,Definitivní,S výměna světelného zdroje,20.7.2016
1 334,S-0052-030,,Lesná,BLAŽKOVA,Brno - východ,2 016,19.7.2016,S svítidlo-nesvítí,26.7.2016,Definitivní,vypadený jistící prvek,20.7.2016
1 335,S-0052-031,,Lesná,BLAŽKOVA,Brno - východ,2 016,19.7.2016,S svítidlo-nesvítí,26.7.2016,Definitivní,vypadený jistící prvek,20.7.2016
1 336,S-1418-052,,Bystrc,ČERNÉHO,Brno - západ,2 016,19.7.2016,"dvířka-poškozena, chybí",26.7.2016,Definitivní,S montáž dvířek,20.7.2016
1 337,S-1462-010,,Líšeň,ŠTEFÁČKOVA,Brno - východ,2 016,19.7.2016,"nesvítí celá ulice, oblast",26.7.2016,Definitivní,není v majetku TsB,19.7.2016
1 338,S-1257-042,Z-548,Veveří,VEVEŘÍ,Brno - východ,2 016,20.7.2016,Z nekomunikuje,27.7.2016,Definitivní,Z obnovena komunikace RACOM,20.7.2016
1 339,S-0465-014,Z-225,Město Brno,KOMENSKÉHO NÁMĚSTÍ,Brno - východ,2 016,20.7.2016,Z nekomunikuje,27.7.2016,Definitivní,Z obnovena komunikace RACOM,20.7.2016
1 340,S-1241-007,,Komín,VAVŘINECKÁ,Brno - západ,2 016,20.7.2016,S svítidlo-nesvítí,27.7.2016,Definitivní,S výměna světelného zdroje,21.7.2016
1 341,S-0465-020,Z-225,Město Brno,KOMENSKÉHO NÁMĚSTÍ,Brno - východ,2 016,20.7.2016,Z nekomunikuje,27.7.2016,Definitivní,Z obnovena komunikace,22.7.2016
1 342,S-0819-098,Z-358,Královo Pole,PALACKÉHO TŘÍDA,Brno - západ,2 016,20.7.2016,Z vypadený jistící prvek,27.7.2016,Definitivní,neopraveno,21.7.2016
1 343,S-0308-117,Z-147,Královo Pole,HRADECKÁ,Brno - západ,2 016,20.7.2016,Z vypadený jistící prvek,27.7.2016,Definitivní,oprava kabelu,26.7.2016
1 344,S-0308-118,Z-147,Královo Pole,HRADECKÁ,Brno - západ,2 016,20.7.2016,"Z vypnuta regulace, porucha síťě",27.7.2016,Definitivní,oprava kabelu,26.7.2016
1 345,S-0787-049,,Lesná,OKRUŽNÍ,Brno - východ,2 016,20.7.2016,S svítidlo-bliká,27.7.2016,Definitivní,S výměna světelného zdroje,21.7.2016
1 346,S-0275-035,Z-120,Štýřice,HERŠPICKÁ,Brno - západ,2 016,21.7.2016,Z vypadený jistící prvek,28.7.2016,Definitivní,Z výměna el. výzbroje,21.7.2016
1 347,S-1485-036,Z-531,Stránice,ÚVOZ,Brno - západ,2 016,21.7.2016,SO nekomunikuje čip,28.7.2016,Definitivní,Z výměna el. výzbroje,22.7.2016
1 348,S-0887-007,Z-407,Komárov,POMPOVA,Brno - východ,2 016,21.7.2016,SO nekomunikuje čip,28.7.2016,Definitivní,Z výměna koncentrátoru,16.8.2016
1 349,S-1174-010,Z-509,Komárov,TUHÁČKOVA,Brno - východ,2 016,21.7.2016,Z porucha regulace,28.7.2016,Definitivní,jiná závada,30.7.2016
1 350,S-0819-101,Z-358,Královo Pole,PALACKÉHO TŘÍDA,Brno - západ,2 016,21.7.2016,Z nekomunikuje,28.7.2016,Definitivní,jiná závada,22.7.2016
1 351,S-0218-021,,Bystrc,FOLTÝNOVA,Brno - západ,2 016,21.7.2016,S svítidlo-bliká,28.7.2016,Definitivní,S výměna světelného zdroje,22.7.2016
1 352,S-0218-019,R-0218-003,Bystrc,FOLTÝNOVA,Brno - západ,2 016,21.7.2016,S svítidlo-nesvítí,28.7.2016,Definitivní,S výměna světelného zdroje,22.7.2016
1 353,S-1257-044,Z-548,Veveří,VEVEŘÍ,Brno - východ,2 016,21.7.2016,Z nekomunikuje,28.7.2016,Definitivní,Z obnovena komunikace,22.7.2016
1 354,S-1260-007,,Pisárky,VINAŘSKÁ,Brno - západ,2 016,21.7.2016,"dvířka-poškozena, chybí",28.7.2016,Definitivní,S montáž dvířek,22.7.2016
1 355,S-0375-138,Z-187,Bohunice,JIHLAVSKÁ,Brno - západ,2 016,21.7.2016,Z vypadený jistící prvek,28.7.2016,Definitivní,při kontrole vše v pořádku,27.7.2016
1 356,S-1220-036,Z-070,Komín,ULICE ČOUPKOVÝCH,Brno - západ,2 016,21.7.2016,Z nekomunikuje,28.7.2016,Definitivní,Z obnovena komunikace RACOM,21.7.2016
1 357,S-0279-030,Z-126,Komín,HLAVNÍ,Brno - západ,2 016,21.7.2016,Z nekomunikuje,28.7.2016,Definitivní,Z obnovena komunikace RACOM,21.7.2016
1 358,S-1491-022,Z-443,Komín,ŘEZÁČOVA,Brno - západ,2 016,21.7.2016,Z nekomunikuje,28.7.2016,Definitivní,Z obnovena komunikace RACOM,21.7.2016
1 359,S-1288-003,Z-578,Komín,VRBENSKÉHO,Brno - západ,2 016,21.7.2016,Z nekomunikuje,28.7.2016,Definitivní,Z obnovena komunikace RACOM,21.7.2016
1 360,S-1491-003,Z-442,Komín,ŘEZÁČOVA,Brno - západ,2 016,21.7.2016,Z nekomunikuje,28.7.2016,Definitivní,Z obnovena komunikace RACOM,21.7.2016
1 361,S-1110-013,Z-467,Žabovřesky,STRÁNSKÉHO,Brno - západ,2 016,21.7.2016,Z nekomunikuje,28.7.2016,Definitivní,Z obnovena komunikace RACOM,21.7.2016
1 362,S-0825-006,Z-364,Komín,PASTVINY,Brno - západ,2 016,21.7.2016,Z nekomunikuje,28.7.2016,Definitivní,Z obnovena komunikace RACOM,21.7.2016
1 363,S-0046-001,,Město Brno,BISKUPSKÁ,Brno - východ,2 016,22.7.2016,S svítidlo-nesvítí,29.7.2016,Definitivní,S výměna světelného zdroje,25.7.2016
1 364,S-1422-016,,Město Brno,ČESKÁ,Brno - východ,2 016,22.7.2016,S svítidlo-nesvítí,29.7.2016,Definitivní,neopraveno,11.11.2016
1 365,S-0819-109,Z-358,Královo Pole,PALACKÉHO TŘÍDA,Brno - západ,2 016,22.7.2016,Z zapnout BP - porucha stabilizace,22.7.2016,Definitivní,Z regulace zapnuta,22.7.2016
1 366,S-0091-059,Z-047,Královo Pole,BUDOVCOVA,Brno - západ,2 016,22.7.2016,Z porucha regulace,29.7.2016,Definitivní,Z výměna el. výzbroje,22.7.2016
1 367,S-0169-060,Z-082,Černá Pole,DROBNÉHO,Brno - východ,2 016,22.7.2016,Z porucha regulace,29.7.2016,Definitivní,jiná závada,28.9.2016
1 368,S-0188-002,Z-073,Komín,DĚLNICKÁ,Brno - západ,2 016,22.7.2016,Z vypadený jistící prvek,29.7.2016,Definitivní,S výměna svorkovnice,22.7.2016
1 369,S-0428-012,,Starý Lískovec,KARPATSKÁ,Brno - západ,2 016,22.7.2016,S svítidlo-rozbité,29.7.2016,Definitivní,S oprava svítidla,22.7.2016
1 370,S-0676-023,,Trnitá,MLÝNSKÁ,Brno - východ,2 016,22.7.2016,S svítidlo-bliká,29.7.2016,Definitivní,S výměna světelného zdroje,25.7.2016
1 371,S-0091-057,Z-047,Královo Pole,BUDOVCOVA,Brno - západ,2 016,22.7.2016,"Z vypnuta regulace, viz.poznámka",29.7.2016,Definitivní,Z výměna el. výzbroje,22.7.2016
1 372,S-1696-024,Z-027,Nový Lískovec,BÍTEŠSKÁ,Brno - západ,2 016,22.7.2016,"Z vypnuta regulace, viz.poznámka",29.7.2016,Definitivní,Z regulace vyměněna,25.7.2016
1 373,S-1211-012,Z-516,Starý Lískovec,U POŠTY,Brno - západ,2 016,22.7.2016,Z porucha proudového snímače,29.7.2016,Definitivní,jiná závada,28.7.2016
1 374,S-0465-019,Z-225,Město Brno,KOMENSKÉHO NÁMĚSTÍ,Brno - východ,2 016,23.7.2016,Z nekomunikuje,30.7.2016,Definitivní,Z obnovena komunikace,26.7.2016
1 375,S-0958-022,,Líšeň,RAŠELINOVÁ,Brno - východ,2 016,23.7.2016,"dvířka-poškozena, chybí",30.7.2016,Definitivní,S montáž dvířek,23.7.2016
1 376,S-0672-008,,Lesná,MILÉNOVA,Brno - východ,2 016,23.7.2016,S svítidlo-rozbité,30.7.2016,Definitivní,S oprava svítidla,25.7.2016
1 377,S-0401-026,Z-191,Líšeň,JÍROVA,Brno - východ,2 016,23.7.2016,Z vybitá záložní baterie,30.7.2016,Definitivní,Z výměna baterie,26.7.2016
